Actual,Predicted
9,10.487964
27,12.86796
9,11.620801
22,14.481492
4,13.953401
33,18.876957
17,16.917906
22,19.621843
13,17.792562
18,20.708406
26,19.237452
15,18.793922
26,19.576036
24,21.769018
19,21.945333
23,21.31516
21,22.606516
26,22.619267
11,19.95482
17,19.665188
13,17.72249
24,18.198183
21,17.25529
8,16.725561
21,17.507257
20,18.892244
26,19.32326
1,2.4975574
0,2.4974403
2,2.8958364
2,2.9292564
2,1.3856099
5,2.3666475
0,2.3201308
2,2.5084934
2,2.4550197
0,2.2117405
2,1.3610793
2,1.8294032
8,2.9897232
10,4.6741233
2,2.8810973
6,3.0610363
0,2.5805645
2,3.0235386
2,2.5639052
3,2.7511437
8,3.2273753
0,3.2113118
2,3.1918647
11,5.1594157
8,6.2150226
0,4.507155
5,5.568543
4,5.942082
10,5.689899
2,4.3698854
11,6.6374936
3,6.2115064
9,7.289828
4,3.784453
7,6.391647
6,5.5455594
5,5.1019073
3,3.87427
5,4.8261256
8,5.0397964
11,6.1379905
3,5.8560777
8,6.8607416
4,6.698792
9,6.857755
8,6.192364
0,5.620004
6,5.1728606
0,4.3604083
10,4.5571446
9,4.7390676
0,4.703963
0,3.5704975
3,4.1694837
19,6.022987
12,6.6869235
3,7.312118
5,8.295478
11,9.885749
0,6.084889
2,4.0202584
2,3.8027444
6,3.9886162
3,2.3999748
3,3.033806
5,3.66378
12,5.7683415
13,7.212355
24,11.370209
4,11.530656
0,10.520903
2,8.48542
5,6.730762
9,3.657905
0,2.9030986
5,6.4199905
9,7.287666
5,7.33291
5,6.4800897
0,4.9469385
0,3.8873472
7,3.4559908
4,3.2530398
3,2.8868356
15,5.929667
0,5.8862906
0,4.4116797
0,3.6110249
2,3.372838
9,2.1208475
17,5.6594305
2,2.8872879
8,4.376141
2,3.9497478
10,5.860739
2,4.9970593
6,5.8550816
9,6.06469
2,6.0897098
5,5.023236
7,6.0784106
12,7.282768
6,6.6228375
2,8.002343
6,7.433979
5,6.0182853
5,4.5684805
2,4.127407
4,4.5121403
9,5.148468
4,4.9563813
3,4.511842
7,5.5766616
0,4.790975
0,2.802703
5,3.0044765
4,3.2607799
0,1.801049
5,2.8359153
0,2.8889132
2,2.1526413
0,1.2213521
0,1.2411401
9,2.1245027
0,2.1101546
2,2.0890825
14,5.100516
14,8.022858
0,2.5425506
0,1.6076117
0,0.38233024
3,0.95775646
0,0.5894079
0,0.5788775
0,0.62039006
15,3.6529784
5,4.0954547
15,7.1697073
9,8.936946
0,8.975198
4,6.753779
0,5.6654725
8,4.270084
0,2.51475
4,3.3372571
2,2.9237862
6,4.149977
0,2.4490457
4,3.26061
6,3.5052834
0,3.1172729
2,2.3290365
3,2.9385629
3,2.7297754
27,23.498566
26,24.702303
17,22.356863
20,21.309488
16,20.679417
24,20.049093
31,21.190588
24,22.764576
6,19.827639
16,19.754541
23,19.580465
17,16.686977
17,15.195281
26,19.175611
16,19.130821
12,16.940722
26,18.7637
20,19.410027
29,20.052177
28,22.486292
19,23.850355
31,24.867996
21,24.921162
20,23.03511
23,21.922823
27,23.574259
38,24.894732
14,23.513605
19,23.380121
18,22.487059
28,22.633661
11,17.301628
5,15.561416
15,14.730326
23,15.772002
11,12.512639
20,14.284754
